Lp.	MatID	xTime	xLoc	EnThick	ExThick	EnTens	ExTens	RollForce	FSlip	Daiameter	Rolled length for Work Rolls [m]	youngModulus	Backup roll dia.	Rolled length for Backup rolls	mu	torque	averageSigma	inputError	LubWFlUp	LubWFlLo	LubOilFlUp	LubOilFlLo	Work roll speed	
1	1939351	0.168	0.588	11.2161	7.503	0	0	1115.75	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2402.483	2296.027	0.339	0.339	3.549	 
2	1939351	0.364	1.389	11.4968	7.8673	1.398	0	1302.11	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2373.98	2290.115	0.339	0.339	3.494	 
3	1939351	0.574	2.116	11.6235	8.0989	5.266	0	1265.16	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2356.567	2286.817	0.339	0.339	3.435	 
4	1939351	0.784	2.84	11.7038	8.1482	11.779	0	1240.06	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2347.34	2284.71	0.339	0.339	3.44	 
5	1939351	0.994	3.619	11.7612	8.1563	14.938	0	1253.8	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2349.692	2281.127	0.339	0.339	3.439	 
6	1939351	1.19	4.343	11.7592	8.1488	16.059	0	1250.34	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2351.838	2284.685	0.339	0.339	3.436	 
7	1939351	1.4	5.067	11.761	8.1564	16.473	0	1257.36	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2350.38	2288.178	0.339	0.339	3.442	 
8	1939351	1.61	5.848	11.7799	8.1525	14.906	0	1261.81	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2341.421	2280.782	0.339	0.339	3.442	 
9	1939351	1.806	6.574	11.7633	8.1678	15.111	0.187	1275.4	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2328.167	2266.929	0.339	0.339	3.45	 
10	1939351	2.016	7.3	11.7858	8.2076	14.424	3.152	1314.9	0	796.36298	4103	216000	1501.276	1003729	0	0	0	113	2306.336	2258.452	0.339	0.339	3.442	 
11	1939351	2.226	8.024	11.7629	8.2132	12.214	8.382	1318.89	13.2	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2292.107	2252.928	0.339	0.339	3.448	 
12	1939351	2.436	8.749	11.7886	8.1917	11.377	14.387	1299.6	10.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2293.742	2251.216	0.339	0.339	3.441	 
13	1939351	2.632	9.473	11.8434	8.1823	11.696	15.904	1296.43	8.4	796.36298	4103	216000	1501.276	1003729	0.379007504	43709.71267	165.7516513	100	2299.947	2259.399	0.339	0.339	3.424	 
14	1939351	2.842	10.247	11.8217	8.1583	12.217	17.426	1279.41	8.3	796.36298	4103	216000	1501.276	1003729	0.326922945	42936.49295	171.2126773	100	2318.455	2265.244	0.339	0.339	3.412	 
15	1939351	3.052	10.966	11.8227	8.1598	12.86	17.344	1288.17	7.9	796.36298	4103	216000	1501.276	1003729	0.268278465	43520.28057	185.1251014	100	2331.266	2269.694	0.339	0.339	3.412	 
16	1939351	3.248	11.684	11.7955	8.1873	12.842	16.318	1308.07	8.2	796.36298	4103	216000	1501.276	1003729	0.346256768	44084.69775	173.270401	100	2340.44	2272.263	0.339	0.339	3.412	 
17	1939351	3.458	12.458	11.7682	8.1748	12.829	16.888	1291.92	8.2	796.36298	4103	216000	1501.276	1003729	0.345108595	43303.3893	172.034708	100	2351.153	2274.688	0.339	0.339	3.411	 
18	1939351	3.668	13.176	11.7778	8.1697	13.702	17.555	1285.38	8.1	796.36298	4103	216000	1501.276	1003729	0.315998289	43365.00873	176.256288	100	2364.549	2276.777	0.339	0.339	3.412	 
19	1939351	3.864	13.894	11.7485	8.1648	14.502	16.051	1283.77	8.3	796.36298	4103	216000	1501.276	1003729	0.462271953	44015.00166	161.3392778	100	2374.19	2279.286	0.339	0.339	3.417	 
20	1939351	4.074	14.669	11.7629	8.1658	15.509	14.813	1280.6	8.2	796.36298	4103	216000	1501.276	1003729	0.415561211	44782.83885	163.5431701	100	2391.234	2288.647	0.339	0.339	3.418	 
21	1939351	4.27	15.389	11.7773	8.1748	15.281	14.387	1295.11	8.4	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2407.692	2295.679	0.339	0.339	3.419	 
22	1939351	4.48	16.109	11.7768	8.1756	14.416	14.142	1296.45	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2416.255	2300.083	0.339	0.339	3.415	 
23	1939351	4.704	16.882	11.7691	8.1574	13.919	13.88	1286.92	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2416.398	2301.446	0.339	0.339	3.41	 
24	1939351	4.9	17.6	11.7648	8.1638	13.835	13.45	1296.36	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2400.335	2297.69	0.339	0.339	3.407	 
25	1939351	5.11	18.372	11.7462	8.1608	13.191	13.679	1294.1	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2384.24	2288.359	0.339	0.339	3.403	 
26	1939351	5.32	19.088	11.7499	8.161	12.892	14.29	1290.32	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2354.063	2282.826	0.339	0.339	3.4	 
27	1939351	5.53	19.804	11.7532	8.1543	13.484	14.61	1285.05	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2335.063	2280.384	0.339	0.339	3.398	 
28	1939351	5.74	20.519	11.7564	8.1329	13.982	14.778	1276.5	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2327.102	2275.197	0.339	1.15	3.394	 
29	1939351	5.936	21.288	11.777	8.119	14.576	15.143	1272.66	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2335.183	2273.676	0.339	0.755	3.395	 
30	1939351	6.146	22.003	11.7595	8.1097	14.778	15.506	1271.23	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2333.554	2271.999	0.339	1.83	3.394	 
31	1939351	6.356	22.718	11.7517	8.1008	14.367	14.745	1266.04	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2325.391	2268.041	0.908	3.064	3.395	 
32	1939351	6.566	23.487	11.7535	8.107	13.836	15.047	1272.09	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2319.368	2261.45	0.609	3.707	3.395	 
33	1939351	6.762	24.202	11.7568	8.1196	13.568	15.464	1277.98	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2327.419	2264.156	1.741	2.91	3.392	 
34	1939351	6.972	24.916	11.7499	8.1344	13.665	15.697	1285.97	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2355.823	2269.363	2.505	4.016	3.392	 
35	1939351	7.182	25.685	11.759	8.1428	13.384	15.545	1289.56	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2373.535	2277.151	2.374	4.977	3.392	 
36	1939351	7.392	26.399	11.7787	8.1325	13.65	16.239	1285.27	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2389.193	2280.019	3.342	5.651	3.392	 
37	1939351	7.588	27.113	11.7777	8.1348	13.674	16.782	1291.43	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2402.474	2283.849	4.558	6.122	3.396	 
38	1939351	7.798	27.884	11.771	8.1433	13.889	16.521	1293.7	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2403.286	2291.61	5.278	6.229	3.399	 
39	1939351	8.008	28.6	11.7814	8.1523	14.391	16.706	1303.03	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2398.753	2297.311	5.545	6.782	3.402	 
40	1939351	8.204	29.317	11.7798	8.1525	14.605	16.86	1300.94	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2386.976	2292.163	5.993	7.211	3.407	 
41	1939351	8.428	30.089	11.7951	8.1398	14.302	16.546	1293.65	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2364.327	2281.86	6.5	7.547	3.412	 
42	1939351	8.624	30.808	11.7807	8.1462	14.09	16.301	1301.3	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2334.394	2273.877	6.849	7.8	3.415	 
43	1939351	8.834	31.527	11.7691	8.1442	14.471	16.81	1296.02	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2313.356	2265.604	6.905	8.087	3.42	 
44	1939351	9.044	32.303	11.7819	8.1452	14.806	16.799	1296.27	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2307.246	2255.891	7.179	8.131	3.426	 
45	1939351	9.24	33.025	11.7874	8.1516	14.742	16.299	1301.44	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2297.986	2252.484	7.319	7.975	3.429	 
46	1939351	9.45	33.747	11.7696	8.1391	14.184	16.028	1293.31	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2315.849	2258.072	7.56	7.982	3.435	 
47	1939351	9.66	34.471	11.7714	8.1501	14.16	16.25	1297.66	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2346.533	2265.426	7.699	8.197	3.438	 
